id,roomt,roomw,time1,infra,ear,subjective,hr,activity,,,,,,,,,,,,,,,
1,22.7,53,10:21,29.2,36.3,-2,75,1,,,,,,,,,,,,,,,
1,22.9,57,10:22,28.9,36.4,-1,73,1,,,,,,,,,,,,,,,
1,22.9,59,10:23,28.8,36.2,0,77,1,,,,,,,,,,,,,,,
1,23.0,60,10:24,28.8,36.3,0,69,1,,,,,,,,,,,,,,,
1,22.9,60,10:30,28.7,36.3,0,73,1,,,,,,,,,,,,,,,
1,23.1,60,10:31,28.7,36.4,0,75,1,,,,,,,,,,,,,,,
1,23.2,60,10:32,28.9,36.4,0,77,1,,,,,,,,,,,,,,,
1,27.1,56,10:55,32.3,36.5,1,74,1,,,,,,,,,,,,,,,
1,27.2,55,10:56,32.2,36.5,1,74,1,,,,,,,,,,,,,,,
1,27.3,55,10:57,31.9,36.3,1,73,1,,,,,,,,,,,,,,,
1,27.5,55,10:58,32.2,36.5,1,68,1,,,,,,,,,,,,,,,
1,27.6,55,10:59,32.8,36.5,1,72,1,,,,,,,,,,,,,,,
1,27.7,55,11:00,32.9,36.4,1,78,1,,,,,,,,,,,,,,,
1,27.8,55,11:01,32.9,36.4,1,73,1,,,,,,,,,,,,,,,
1,27.9,54,11:02,32.7,36.4,0,70,1,,,,,,,,,,,,,,,
1,27.8,51,11:03,32.2,36.3,-1,64,1,,,,,,,,,,,,,,,
1,27.7,48,11:04,31.8,36.1,-1,62,1,,,,,,,,,,,,,,,
1,22.5,45,11:20,28.0,36.4,-2,63,1,,,,,,,,,,,,,,,
1,22.4,45,11:21,28.0,36.4,-2,63,1,,,,,,,,,,,,,,,
1,22.4,50,11:22,28.2,36.6,-2,69,1,,,,,,,,,,,,,,,
1,22.5,52,11:23,28.3,36.6,-2,65,1,,,,,,,,,,,,,,,
1,22.8,56,11:24,28.3,36.5,-1,67,1,,,,,,,,,,,,,,,
2,22.7,53,10:21,28.8,36.3,-1,76,1,,,,,,,,,,,,,,,
2,22.9,57,10:22,28.8,36.6,-1,75,1,,,,,,,,,,,,,,,
2,22.9,59,10:23,29.2,36.5,-1,80,1,,,,,,,,,,,,,,,
2,23.0,60,10:24,29.1,36.5,-1,73,1,,,,,,,,,,,,,,,
2,23.0,59,10:25,28.8,36.6,-1,70,1,,,,,,,,,,,,,,,
2,22.9,51,10:26,28.7,36.9,-1,75,1,,,,,,,,,,,,,,,
2,22.8,50,10:27,28.7,36.9,-1,83,1,,,,,,,,,,,,,,,
2,22.9,60,10:30,28.8,36.7,0,79,1,,,,,,,,,,,,,,,
2,23.1,60,10:31,29.1,37.1,0,75,1,,,,,,,,,,,,,,,
2,23.2,60,10:32,29.0,37,0,79,1,,,,,,,,,,,,,,,
2,27.1,56,10:55,31.5,36.4,1,85,1,,,,,,,,,,,,,,,
2,27.2,55,10:56,31.5,36.8,1,83,1,,,,,,,,,,,,,,,
2,27.3,55,10:57,31.7,36.8,1,83,1,,,,,,,,,,,,,,,
2,27.5,55,10:58,31.5,36.8,1,82,1,,,,,,,,,,,,,,,
2,27.6,55,10:59,31.5,37.2,1,80,1,,,,,,,,,,,,,,,
2,27.7,55,11:00,31.5,36.8,1,83,1,,,,,,,,,,,,,,,
2,27.9,54,11:02,31.3,36.8,0,83,1,,,,,,,,,,,,,,,
2,27.8,51,11:03,31.1,36.9,-1,75,1,,,,,,,,,,,,,,,
2,27.7,48,11:04,31.1,37,-1,75,1,,,,,,,,,,,,,,,
2,22.5,45,11:20,28.2,36,-2,72,1,,,,,,,,,,,,,,,
2,22.4,45,11:21,28.2,36.2,-2,73,1,,,,,,,,,,,,,,,
2,22.4,50,11:22,28.1,36.8,-2,76,1,,,,,,,,,,,,,,,
3,24.0,55,10:21,29.8,36.3,-1,92,1,,,,,,,,,,,,,,,
3,24.0,58,10:22,29.8,36.3,-1,86,1,,,,,,,,,,,,,,,
3,24.0,59,10:23,29.8,36.4,-1,87,1,,,,,,,,,,,,,,,
3,29.1,59,10:44,31.9,36.5,0,82,1,,,,,,,,,,,,,,,
3,29.2,59,10:45,31.9,36.6,0,92,1,,,,,,,,,,,,,,,
3,29.2,57,10:46,31.9,36.8,0,92,1,,,,,,,,,,,,,,,
3,29.2,56,10:47,32.0,36.8,0,94,1,,,,,,,,,,,,,,,
3,29.2,55,10:48,32.1,36.7,0,99,1,,,,,,,,,,,,,,,
3,29.2,55,10:49,32.0,36.7,0,99,1,,,,,,,,,,,,,,,
3,28.4,44,10:53,31.2,36.9,-1,85,1,,,,,,,,,,,,,,,
3,27.8,42,10:54,31.3,36.8,-1,93,1,,,,,,,,,,,,,,,
3,27.6,41,10:55,31.2,36.8,-1,88,1,,,,,,,,,,,,,,,
3,24.0,45,11:10,29.8,36.4,0,95,1,,,,,,,,,,,,,,,
3,23.9,47,11:11,29.8,36.4,0,89,1,,,,,,,,,,,,,,,
3,23.9,51,11:12,29.7,36.4,0,90,1,,,,,,,,,,,,,,,
4,23.5,39,10:31,30.1,36.3,-1,76,1,,,,,,,,,,,,,,,
4,23.4,39,10:32,29.9,36.3,-1,71,1,,,,,,,,,,,,,,,
4,23.1,37,10:33,29.8,36.1,-1,80,1,,,,,,,,,,,,,,,
4,22.9,37,10:34,29.8,36.1,-1,78,1,,,,,,,,,,,,,,,
4,23.3,54,10:40,31.5,36.3,0,77,1,,,,,,,,,,,,,,,
4,23.8,55,10:41,31.8,36,0,82,1,,,,,,,,,,,,,,,
4,24.1,56,10:42,31.7,36,0,87,1,,,,,,,,,,,,,,,
4,27.9,55,10:56,35.9,36.2,1,80,1,,,,,,,,,,,,,,,
4,28.1,54,10:57,35.9,36.2,1,74,1,,,,,,,,,,,,,,,
4,28.2,54,10:58,35.9,36.2,1,70,1,,,,,,,,,,,,,,,
4,27.3,41,11:05,31.7,36.2,0,72,1,,,,,,,,,,,,,,,
4,27.2,39,11:06,31.7,36.3,0,80,1,,,,,,,,,,,,,,,
4,27.1,37,11:07,31.8,36.3,0,81,1,,,,,,,,,,,,,,,
4,23.2,32,11:16,28.8,36.2,-1,76,1,,,,,,,,,,,,,,,
4,22.9,34,11:17,28.8,36.1,-1,75,1,,,,,,,,,,,,,,,
4,22.7,35,11:18,28.7,36.1,-1,77,1,,,,,,,,,,,,,,,
5,22.2,58,10:35,30.5,36.6,-1,77,1,,,,,,,,,,,,,,,
5,22.2,59,10:36,30.8,36.6,-1,82,1,,,,,,,,,,,,,,,
5,22.2,60,10:37,30.8,36.4,0,86,1,,,,,,,,,,,,,,,
5,22.2,62,10:38,30.7,36.4,0,76,1,,,,,,,,,,,,,,,
5,23.0,61,10:44,32.3,36.5,1,80,1,,,,,,,,,,,,,,,
5,23.2,61,10:45,32.2,36.5,1,78,1,,,,,,,,,,,,,,,
5,23.3,60,10:46,31.9,36.5,1,78,1,,,,,,,,,,,,,,,
5,27.3,53,11:01,36.2,36.5,0,82,1,,,,,,,,,,,,,,,
5,27.6,53,11:02,36.2,36.7,0,82,1,,,,,,,,,,,,,,,
5,27.8,52,11:03,36.1,36.7,0,75,1,,,,,,,,,,,,,,,
5,25.6,37,11:10,31.2,36.7,-1,83,1,,,,,,,,,,,,,,,
5,25.0,37,11:11,31.1,36.7,-2,79,1,,,,,,,,,,,,,,,
5,24.4,38,11:12,30.8,36.7,-1,80,1,,,,,,,,,,,,,,,
5,22.2,44,11:20,29.2,36.3,0,81,1,,,,,,,,,,,,,,,
5,22.0,47,11:21,29.2,36.3,-1,79,1,,,,,,,,,,,,,,,
