	0	1	2	3	4	BT
0	2018/12/07	00:00:00	76	3228	1	32.53653
1	2018/12/07	00:00:10	87	3250	1	32.75829
2	2018/12/07	00:00:20	93	3326	0	33.524370000000005
3	2018/12/07	00:00:30	86	3345	0	33.71589
4	2018/12/07	00:00:40	80	3345	0	33.71589
5	2018/12/07	00:00:50	76	3336	1	33.625170000000004
6	2018/12/07	00:01:00	74	3331	1	33.57477
7	2018/12/07	00:01:10	80	3329	1	33.554610000000004
8	2018/12/07	00:01:20	83	3311	1	33.37317
9	2018/12/07	00:01:30	79	3297	0	33.23205
10	2018/12/07	00:01:40	58	3286	1	33.12117
11	2018/12/07	00:01:50	76	3276	1	33.02037
12	2018/12/07	00:02:00	80	3282	1	33.08085
13	2018/12/07	00:02:10	89	3298	1	33.24213
14	2018/12/07	00:02:20	93	3336	0	33.625170000000004
15	2018/12/07	00:02:30	96	3356	1	33.82677
16	2018/12/07	00:02:40	89	3366	0	33.92757
17	2018/12/07	00:02:50	83	3375	0	34.01829
18	2018/12/07	00:03:00	86	3381	0	34.078770000000006
19	2018/12/07	00:03:10	86	3386	0	34.12917
20	2018/12/07	00:03:20	84	3383	1	34.09893
21	2018/12/07	00:03:30	84	3378	0	34.04853
22	2018/12/07	00:03:40	83	3377	1	34.038450000000005
23	2018/12/07	00:03:50	82	3379	1	34.05861
24	2018/12/07	00:04:00	81	3381	1	34.078770000000006
25	2018/12/07	00:04:10	78	3380	1	34.068690000000004
26	2018/12/07	00:04:20	76	3383	1	34.09893
27	2018/12/07	00:04:30	76	3385	0	34.11909
28	2018/12/07	00:04:40	76	3375	1	34.01829
29	2018/12/07	00:04:50	78	3381	0	34.078770000000006
30	2018/12/07	00:05:00	84	3367	0	33.937650000000005
31	2018/12/07	00:05:10	87	3380	1	34.068690000000004
32	2018/12/07	00:05:20	79	3385	1	34.11909
33	2018/12/07	00:05:30	73	3380	1	34.068690000000004
34	2018/12/07	00:05:40	75	3375	1	34.01829
35	2018/12/07	00:05:50	81	3377	0	34.038450000000005
36	2018/12/07	00:06:00	77	3379	0	34.05861
37	2018/12/07	00:06:10	76	3381	0	34.078770000000006
38	2018/12/07	00:06:20	75	3382	0	34.08885
39	2018/12/07	00:06:30	76	3386	0	34.12917
40	2018/12/07	00:06:40	78	3384	0	34.109010000000005
41	2018/12/07	00:06:50	77	3382	1	34.08885
42	2018/12/07	00:07:00	80	3376	0	34.02837
43	2018/12/07	00:07:10	85	3373	1	33.99813
44	2018/12/07	00:07:20	86	3374	1	34.008210000000005
45	2018/12/07	00:07:30	82	3374	0	34.008210000000005
46	2018/12/07	00:07:40	80	3370	0	33.967890000000004
47	2018/12/07	00:07:50	79	3365	1	33.91749
48	2018/12/07	00:08:00	83	3364	1	33.90741
49	2018/12/07	00:08:10	86	3354	1	33.80661
50	2018/12/07	00:08:20	95	3364	1	33.90741
51	2018/12/07	00:08:30	89	3356	1	33.82677
52	2018/12/07	00:08:40	95	3361	1	33.87717
53	2018/12/07	00:08:50	87	3362	1	33.88725
54	2018/12/07	00:09:00	84	3363	0	33.897330000000004
55	2018/12/07	00:09:10	98	3350	1	33.766290000000005
56	2018/12/07	00:09:20	97	3360	1	33.867090000000005
57	2018/12/07	00:09:30	89	3363	1	33.897330000000004
58	2018/12/07	00:09:40	83	3361	1	33.87717
59	2018/12/07	00:09:50	86	3360	1	33.867090000000005
60	2018/12/07	00:10:00	84	3359	1	33.85701
61	2018/12/07	00:10:10	79	3357	0	33.836850000000005
62	2018/12/07	00:10:20	76	3351	1	33.77637
63	2018/12/07	00:10:30	77	3340	1	33.66549
64	2018/12/07	00:10:40	79	3338	1	33.64533
65	2018/12/07	00:10:50	78	3331	0	33.57477
66	2018/12/07	00:11:00	76	3329	0	33.554610000000004
67	2018/12/07	00:11:10	76	3329	0	33.554610000000004
68	2018/12/07	00:11:20	75	3333	0	33.594930000000005
69	2018/12/07	00:11:30	75	3331	0	33.57477
70	2018/12/07	00:11:40	74	3332	0	33.58485
71	2018/12/07	00:11:50	74	3332	0	33.58485
72	2018/12/07	00:12:00	73	3327	0	33.53445
73	2018/12/07	00:12:10	74	3333	0	33.594930000000005
74	2018/12/07	00:12:20	73	3335	0	33.61509
75	2018/12/07	00:12:30	75	3339	0	33.65541
76	2018/12/07	00:12:40	75	3342	0	33.68565
77	2018/12/07	00:12:50	75	3334	1	33.60501
78	2018/12/07	00:13:00	76	3342	0	33.68565
79	2018/12/07	00:13:10	78	3348	0	33.74613
80	2018/12/07	00:13:20	78	3349	1	33.75621
81	2018/12/07	00:13:30	78	3357	1	33.836850000000005
82	2018/12/07	00:13:40	79	3362	1	33.88725
83	2018/12/07	00:13:50	86	3367	1	33.937650000000005
84	2018/12/07	00:14:00	97	3366	1	33.92757
85	2018/12/07	00:14:10	105	3370	1	33.967890000000004
86	2018/12/07	00:14:20	107	3365	1	33.91749
87	2018/12/07	00:14:30	107	3374	1	34.008210000000005
88	2018/12/07	00:14:40	109	3380	1	34.068690000000004
89	2018/12/07	00:14:50	106	3384	1	34.109010000000005
90	2018/12/07	00:15:00	96	3378	1	34.04853
91	2018/12/07	00:15:10	113	3374	0	34.008210000000005
92	2018/12/07	00:15:20	93	3377	0	34.038450000000005
93	2018/12/07	00:15:30	77	3378	0	34.04853
94	2018/12/07	00:15:40	75	3382	0	34.08885
95	2018/12/07	00:15:50	72	3385	0	34.11909
96	2018/12/07	00:16:00	70	3385	0	34.11909
97	2018/12/07	00:16:10	69	3372	0	33.98805
98	2018/12/07	00:16:20	71	3366	0	33.92757
99	2018/12/07	00:16:30	71	3362	0	33.88725
100	2018/12/07	00:16:40	73	3355	0	33.81669
101	2018/12/07	00:16:50	73	3354	0	33.80661
102	2018/12/07	00:17:00	72	3349	0	33.75621
103	2018/12/07	00:17:10	77	3345	0	33.71589
104	2018/12/07	00:17:20	80	3351	1	33.77637
105	2018/12/07	00:17:30	81	3352	1	33.78645
106	2018/12/07	00:17:40	80	3347	1	33.73605
107	2018/12/07	00:17:50	84	3349	0	33.75621
108	2018/12/07	00:18:00	75	3348	0	33.74613
109	2018/12/07	00:18:10	75	3349	0	33.75621
110	2018/12/07	00:18:20	72	3348	0	33.74613
111	2018/12/07	00:18:30	72	3349	0	33.75621
112	2018/12/07	00:18:40	73	3351	0	33.77637
113	2018/12/07	00:18:50	71	3352	0	33.78645
114	2018/12/07	00:19:00	70	3355	0	33.81669
115	2018/12/07	00:19:10	72	3359	0	33.85701
116	2018/12/07	00:19:20	74	3352	1	33.78645
117	2018/12/07	00:19:30	83	3347	0	33.73605
118	2018/12/07	00:19:40	83	3346	0	33.725970000000004
119	2018/12/07	00:19:50	78	3355	0	33.81669
120	2018/12/07	00:20:00	80	3353	0	33.796530000000004
121	2018/12/07	00:20:10	81	3354	0	33.80661
122	2018/12/07	00:20:20	80	3356	1	33.82677
123	2018/12/07	00:20:30	79	3306	0	33.32277
124	2018/12/07	00:20:40	81	3252	0	32.77845
125	2018/12/07	00:20:50	80	3219	0	32.44581
126	2018/12/07	00:21:00	78	3194	0	32.193810000000006
127	2018/12/07	00:21:10	78	3169	0	31.94181
128	2018/12/07	00:21:20	77	3242	1	32.67765
129	2018/12/07	00:21:30	75	3267	0	32.92965
130	2018/12/07	00:21:40	78	3285	0	33.111090000000004
131	2018/12/07	00:21:50	78	3289	0	33.15141
132	2018/12/07	00:22:00	78	3293	0	33.19173
133	2018/12/07	00:22:10	78	3294	0	33.20181
134	2018/12/07	00:22:20	80	3295	0	33.211890000000004
135	2018/12/07	00:22:30	74	3298	1	33.24213
136	2018/12/07	00:22:40	75	3302	0	33.282450000000004
137	2018/12/07	00:22:50	78	3307	0	33.33285
138	2018/12/07	00:23:00	74	3311	0	33.37317
139	2018/12/07	00:23:10	77	3315	0	33.41349
140	2018/12/07	00:23:20	79	3322	0	33.48405
141	2018/12/07	00:23:30	80	3322	0	33.48405
142	2018/12/07	00:23:40	80	3320	0	33.46389
143	2018/12/07	00:23:50	81	3325	0	33.51429
144	2018/12/07	00:24:00	80	3325	0	33.51429
145	2018/12/07	00:24:10	79	3327	0	33.53445
146	2018/12/07	00:24:20	79	3330	0	33.56469
147	2018/12/07	00:24:30	81	3333	0	33.594930000000005
148	2018/12/07	00:24:40	81	3336	0	33.625170000000004
149	2018/12/07	00:24:50	81	3335	0	33.61509
150	2018/12/07	00:25:00	79	3330	0	33.56469
151	2018/12/07	00:25:10	79	3329	0	33.554610000000004
152	2018/12/07	00:25:20	78	3331	0	33.57477
153	2018/12/07	00:25:30	78	3328	0	33.54453
154	2018/12/07	00:25:40	79	3327	0	33.53445
155	2018/12/07	00:25:50	78	3325	0	33.51429
156	2018/12/07	00:26:00	77	3317	0	33.43365
157	2018/12/07	00:26:10	79	3317	0	33.43365
158	2018/12/07	00:26:20	80	3318	0	33.44373
159	2018/12/07	00:26:30	80	3315	0	33.41349
160	2018/12/07	00:26:40	80	3315	1	33.41349
161	2018/12/07	00:26:50	82	3313	0	33.39333
162	2018/12/07	00:27:00	81	3313	0	33.39333
163	2018/12/07	00:27:10	80	3312	0	33.383250000000004
164	2018/12/07	00:27:20	82	3316	0	33.423570000000005
165	2018/12/07	00:27:30	81	3316	0	33.423570000000005
166	2018/12/07	00:27:40	80	3318	0	33.44373
167	2018/12/07	00:27:50	79	3317	0	33.43365
168	2018/12/07	00:28:00	81	3321	1	33.47397
169	2018/12/07	00:28:10	82	3320	0	33.46389
170	2018/12/07	00:28:20	81	3325	0	33.51429
171	2018/12/07	00:28:30	79	3326	0	33.524370000000005
172	2018/12/07	00:28:40	78	3327	0	33.53445
173	2018/12/07	00:28:50	79	1212	0	12.21525
174	2018/12/07	00:29:00	80	3336	0	33.625170000000004
175	2018/12/07	00:29:10	82	3337	0	33.63525
176	2018/12/07	00:29:20	84	3339	0	33.65541
177	2018/12/07	00:29:30	88	3343	0	33.695730000000005
178	2018/12/07	00:29:40	87	3346	0	33.725970000000004
179	2018/12/07	00:29:50	82	3350	0	33.766290000000005
180	2018/12/07	00:30:00	82	3347	0	33.73605
181	2018/12/07	00:30:10	79	3350	0	33.766290000000005
182	2018/12/07	00:30:20	81	3354	0	33.80661
183	2018/12/07	00:30:30	81	3358	0	33.84693
184	2018/12/07	00:30:40	82	3360	0	33.867090000000005
185	2018/12/07	00:30:50	83	3362	0	33.88725
186	2018/12/07	00:31:00	82	3365	0	33.91749
187	2018/12/07	00:31:10	82	3361	0	33.87717
188	2018/12/07	00:31:20	84	3358	0	33.84693
189	2018/12/07	00:31:30	82	3358	0	33.84693
190	2018/12/07	00:31:40	82	3358	0	33.84693
191	2018/12/07	00:31:50	81	3359	0	33.85701
192	2018/12/07	00:32:00	79	3363	0	33.897330000000004
193	2018/12/07	00:32:10	79	3362	0	33.88725
194	2018/12/07	00:32:20	80	3366	0	33.92757
195	2018/12/07	00:32:30	80	3368	0	33.94773
196	2018/12/07	00:32:40	79	3373	0	33.99813
197	2018/12/07	00:32:50	78	3375	0	34.01829
198	2018/12/07	00:33:00	77	3377	0	34.038450000000005
199	2018/12/07	00:33:10	78	3376	0	34.02837
200	2018/12/07	00:33:20	79	3378	0	34.04853
201	2018/12/07	00:33:30	81	3382	0	34.08885
202	2018/12/07	00:33:40	82	3386	0	34.12917
203	2018/12/07	00:33:50	80	3389	0	34.15941
204	2018/12/07	00:34:00	79	3389	0	34.15941
205	2018/12/07	00:34:10	81	3390	0	34.16949
206	2018/12/07	00:34:20	81	3394	0	34.209810000000004
207	2018/12/07	00:34:30	82	3395	0	34.21989
208	2018/12/07	00:34:40	83	3397	0	34.240050000000004
209	2018/12/07	00:34:50	83	3408	1	34.350930000000005
210	2018/12/07	00:35:00	84	3417	0	34.44165
211	2018/12/07	00:35:10	84	3422	0	34.492050000000006
212	2018/12/07	00:35:20	84	3426	0	34.53237
213	2018/12/07	00:35:30	83	3429	0	34.56261000000001
214	2018/12/07	00:35:40	83	3432	0	34.592850000000006
215	2018/12/07	00:35:50	82	3432	0	34.592850000000006
